ticker,name,cik,sector,industry
KR,Kroger,56873,Consumer Staples,Food Retail
LHX,L3Harris,202058,Industrials,Aerospace & Defense
LH,Labcorp,920148,Health Care,Health Care Services
LRCX,Lam Research,707549,Information Technology,Semiconductor Materials & Equipment
LW,Lamb Weston,1679273,Consumer Staples,Packaged Foods & Meats
LVS,Las Vegas Sands,1300514,Consumer Discretionary,Casinos & Gaming
LDOS,Leidos,1336920,Industrials,Diversified Support Services
LEN,Lennar,920760,Consumer Discretionary,Homebuilding
LII,Lennox International,1069202,Industrials,Building Products
LLY,Lilly (Eli),59478,Health Care,Pharmaceuticals
LIN,Linde plc,1707925,Materials,Industrial Gases
LYV,Live Nation Entertainment,1335258,Communication Services,Movies & Entertainment
LKQ,LKQ Corporation,1065696,Consumer Discretionary,Distributors
LMT,Lockheed Martin,936468,Industrials,Aerospace & Defense
L,Loews Corporation,60086,Financials,Multi-line Insurance
LOW,Lowe's,60667,Consumer Discretionary,Home Improvement Retail
LULU,Lululemon Athletica,1397187,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
LYB,LyondellBasell,1489393,Materials,Specialty Chemicals
MTB,M&T Bank,36270,Financials,Regional Banks
MPC,Marathon Petroleum,1510295,Energy,Oil & Gas Refining & Marketing
MKTX,MarketAxess,1278021,Financials,Financial Exchanges & Data
MAR,Marriott International,1048286,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MMC,Marsh McLennan,62709,Financials,Insurance Brokers
MLM,Martin Marietta Materials,916076,Materials,Construction Materials
MAS,Masco,62996,Industrials,Building Products
MA,Mastercard,1141391,Financials,Transaction & Payment Processing Services
MTCH,Match Group,891103,Communication Services,Interactive Media & Services
MKC,McCormick & Company,63754,Consumer Staples,Packaged Foods & Meats
MCD,McDonald's,63908,Consumer Discretionary,Restaurants
MCK,McKesson Corporation,927653,Health Care,Health Care Distributors
MDT,Medtronic,1613103,Health Care,Health Care Equipment
MRK,Merck & Co.,310158,Health Care,Pharmaceuticals
META,Meta Platforms,1326801,Communication Services,Interactive Media & Services
MET,MetLife,1099219,Financials,Life & Health Insurance
MTD,Mettler Toledo,1037646,Health Care,Life Sciences Tools & Services
MGM,MGM Resorts,789570,Consumer Discretionary,Casinos & Gaming
MCHP,Microchip Technology,827054,Information Technology,Semiconductors
MU,Micron Technology,723125,Information Technology,Semiconductors
MSFT,Microsoft,789019,Information Technology,Systems Software
MAA,Mid-America Apartment Communities,912595,Real Estate,Multi-Family Residential REITs
MRNA,Moderna,1682852,Health Care,Biotechnology
MHK,Mohawk Industries,851968,Consumer Discretionary,Home Furnishings
MOH,Molina Healthcare,1179929,Health Care,Managed Health Care
TAP,Molson Coors Beverage Company,24545,Consumer Staples,Brewers
MDLZ,Mondelez International,1103982,Consumer Staples,Packaged Foods & Meats
MPWR,Monolithic Power Systems,1280452,Information Technology,Semiconductors
MNST,Monster Beverage,865752,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
MCO,Moody's Corporation,1059556,Financials,Financial Exchanges & Data
MS,Morgan Stanley,895421,Financials,Investment Banking & Brokerage
MOS,Mosaic Company (The),1285785,Materials,Fertilizers & Agricultural Chemicals
MSI,Motorola Solutions,68505,Information Technology,Communications Equipment
MSCI,MSCI Inc.,1408198,Financials,Financial Exchanges & Data
NDAQ,"Nasdaq, Inc.",1120193,Financials,Financial Exchanges & Data
NTAP,NetApp,1002047,Information Technology,"Technology Hardware, Storage & Peripherals"
NFLX,Netflix,1065280,Communication Services,Movies & Entertainment
NEM,Newmont,1164727,Materials,Gold
NWSA,News Corp (Class A),1564708,Communication Services,Publishing
NWS,News Corp (Class B),1564708,Communication Services,Publishing
NEE,NextEra Energy,753308,Utilities,Multi-Utilities
NKE,"Nike, Inc.",320187,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NI,NiSource,1111711,Utilities,Multi-Utilities
NDSN,Nordson Corporation,72331,Industrials,Industrial Machinery & Supplies & Components
NSC,Norfolk Southern,702165,Industrials,Rail Transportation
NTRS,Northern Trust,73124,Financials,Asset Management & Custody Banks
NOC,Northrop Grumman,1133421,Industrials,Aerospace & Defense
NCLH,Norwegian Cruise Line Holdings,1513761,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NRG,NRG Energy,1013871,Utilities,Independent Power Producers & Energy Traders
NUE,Nucor,73309,Materials,Steel
NVDA,Nvidia,1045810,Information Technology,Semiconductors
NVR,"NVR, Inc.",906163,Consumer Discretionary,Homebuilding
NXPI,NXP Semiconductors,1413447,Information Technology,Semiconductors
ORLY,O’Reilly Automotive,898173,Consumer Discretionary,Automotive Retail
OXY,Occidental Petroleum,797468,Energy,Oil & Gas Exploration & Production
ODFL,Old Dominion,878927,Industrials,Cargo Ground Transportation
OMC,Omnicom Group,29989,Communication Services,Advertising
ON,ON Semiconductor,1097864,Information Technology,Semiconductors
OKE,Oneok,1039684,Energy,Oil & Gas Storage & Transportation
